File name,Gene ID,Number of CpGs,Average number of CpGs,Length of Gene,Relative dyad concentration,How many highly conserved Ratio,Conservation against general presence,Number of conserved dyads,Number of early (<200) conserved dyads
gene_1.fasta,ENSG00000000003,2073,7.942528735632184,720.2413793103449,2.8089430894308944,0.13550135501355012,20.730000000000004,1,1
gene_10.fasta,ENSG00000001461,9008,34.513409961685824,1138.4597701149426,7.377559377559377,0.32760032760032765,22.519999999999996,4,0
gene_100.fasta,ENSG00000005513,14013,53.689655172413794,1182.4367816091954,10.913551401869158,1.1682242990654206,9.341999999999999,15,1
gene_10002.fasta,ENSG00000158480,10201,39.08429118773947,1536.3908045977012,6.526551503518874,0.3838771593090211,17.00166666666667,6,0
gene_10006.fasta,ENSG00000158486,25252,96.75095785440612,10291.965517241379,2.1011815609918454,0.0,0,0,0
gene_10008.fasta,ENSG00000158516,2435,9.329501915708812,1055.632183908046,1.941786283891547,0.07974481658692185,24.349999999999998,1,0
gene_10009.fasta,ENSG00000158517,7900,30.268199233716476,1070.1494252873563,6.786941580756014,0.429553264604811,15.799999999999999,5,0
gene_1001.fasta,ENSG00000067704,6541,25.061302681992338,2737.655172413793,2.154479578392622,0.0,0,0,0
gene_10010.fasta,ENSG00000158525,4018,15.39463601532567,1262.7931034482758,3.064836003051106,0.0,0,0,0
gene_10011.fasta,ENSG00000158526,2489,9.53639846743295,549.8045977011494,4.343804537521815,0.34904013961605584,12.445,2,2
gene_10012.fasta,ENSG00000158528,6350,24.32950191570881,3349.655172413793,1.5529469307899242,0.024455857177794083,63.5,1,0
gene_10013.fasta,ENSG00000158545,14964,57.333333333333336,2635.022988505747,5.168911917098446,0.03454231433506045,149.64000000000001,1,0
gene_10014.fasta,ENSG00000158552,1956,7.494252873563219,741.5747126436781,2.5271317829457365,0.3875968992248062,6.52,3,3
gene_10016.fasta,ENSG00000158555,9770,37.43295019157088,1742.4367816091954,5.374037403740374,0.385038503850385,13.957142857142857,7,0
gene_10020.fasta,ENSG00000158604,4143,15.873563218390805,650.0919540229885,6.083700440528634,1.0279001468428781,5.918571428571428,7,7
gene_10021.fasta,ENSG00000158615,6690,25.632183908045977,1860.8505747126437,3.2459970887918486,0.048520135856380396,66.9,1,1
gene_10023.fasta,ENSG00000158636,3658,14.015325670498084,3727.0919540229884,0.911310413552566,0.1245640259093174,7.316,5,0
gene_10025.fasta,ENSG00000158669,5384,20.628352490421456,1324.528735632184,3.9270605397520058,0.07293946024799416,53.839999999999996,1,0
gene_10028.fasta,ENSG00000158710,2319,8.885057471264368,613.8735632183908,3.7163461538461537,0.0,0,0,0
gene_10029.fasta,ENSG00000158711,2248,8.613026819923371,1254.367816091954,1.7345679012345678,0.0,0,0,0
gene_1003.fasta,ENSG00000067798,11891,45.559386973180075,6152.229885057472,1.661218217379156,0.013970382788488405,118.91,1,0
